insurance_id,name,plan_type,price,discount,trip_cancellation_coverage,medical_coverage,baggage_delay_coverage,baggage_loss_coverage,emergency_evacuation,gadget_coverage,rewards,express_buy_link,additional_info,policy
14fd78cc-3798-484f-957b-a6ddec4390ce,Allianz Travel Insurance Platinum,single,63.0,,10000.0,1000000.0,1000.0,5000.0,,false,,https://buy.allianz-assistance.com.sg/B2C/TRAVEL/SG/step-1?pc=flash50,,
d3842cd5-dbde-45d8-b883-5e5ff03b03df,Allianz Travel Insurance Silver,single,33.0,,5000.0,500000.0,500.0,3000.0,,false,,https://buy.allianz-assistance.com.sg/B2C/TRAVEL/SG/step-1?pc=flash50,,
352ba5a2-8746-41f7-a9fe-0940772cd6ba,FWD First,single,43.7,,15000.0,30000.0,900.0,7500.0,true,false,,https://www.fwd.com.sg/travel-insurance/,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
db775494-9e22-4231-abf3-b9b02cd902c3,FWD Business,single,34.25,,10000.0,15000.0,600.0,5000.0,true,false,,https://www.fwd.com.sg/travel-insurance/,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
80fe3647-dca0-4b55-b342-c1ba7ec10d8d,FWD Premium,single,25.75,,7500.0,6000.0,150.0,3000.0,true,false,,https://www.fwd.com.sg/travel-insurance/quote?hash=1mg5ndndnfb6eq3q8cd59h5o353k4q6b76nmmvjificrdphepgsi,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
d62dd4eb-d92c-46d2-90d1-b096d4b5462e,Singlife Travel Lite,single,31.0,,5000.0,6000.0,300.0,3000.0,true,false,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
ecfee2c5-c658-4a8c-b603-b98d25480c0b,Singlife Travel Prestige,single,65.79,,20000.0,80000.0,2000.0,8000.0,true,false,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
d4164bbe-cf74-4caa-8d45-e9c0b18ce2c1,Singlife Travel Plus,single,47.08,,15000.0,50000.0,1000.0,5000.0,true,false,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
1d8e1abe-64fa-44dd-8d23-98c98c71457b,Income Travel Insurance Classic,single,34.18,,5000.0,250000.0,1000.0,3000.0,,false,,https://www.income.com.sg/buy/travel-insurance,,
47422f5f-bad0-424f-b1c7-48a8208c2d3c,Income Travel Insurance Preferred,single,54.37,,15000.0,1000000.0,2000.0,8000.0,,false,,https://www.income.com.sg/buy/travel-insurance,,
b636999c-23e0-44c4-8b97-0610e771b7d9,Income Travel Insurance Deluxe,single,41.82,,10000.0,500000.0,1200.0,5000.0,,false,,https://www.income.com.sg/buy/travel-insurance,,
6a9422b4-31a9-4868-8def-9cb16c637bf5,MSIG Lite,single,16.87,,0.0,0.0,100.0,1000.0,,false,,https://e-insure2.msig.sg/cp/product/msig/TRAVEL/TRNamedTravelEasyV1,,
3a1b2971-ad9d-40de-b3c1-af2ea19be78c,MSIG Elite,single,37.12,,10000.0,50000.0,1000.0,5000.0,,false,,https://e-insure2.msig.sg/cp/product/msig/TRAVEL/TRNamedTravelEasyV1,,
7c105355-0a5f-4fc6-8eb5-824dd09d3203,MSIG Standard,single,25.42,,5000.0,25000.0,600.0,3000.0,,false,,https://e-insure2.msig.sg/cp/product/msig/TRAVEL/TRNamedTravelEasyV1,,
daedc227-c7a1-45af-be98-355110158385,MSIG Premier,single,52.2,,15000.0,75000.0,1500.0,7500.0,,false,,https://e-insure2.msig.sg/cp/product/msig/TRAVEL/TRNamedTravelEasyV1,,
048f05bf-4a0d-4581-9265-615d46f0f8bf,Allianz Travel Insurance Basic,single,29.5,,1500.0,200000.0,250.0,1000.0,,false,,https://buy.allianz-assistance.com.sg/B2C/TRAVEL/SG/step-1?pc=flash50,,
867b54df-e596-4fb5-9174-a9db9f25b12c,HLAS Travel Protect360 Basic,single,29.0,,5000.0,10000.0,800.0,3000.0,,false,,https://app.hlas.com.sg/travel-protect360/quote,,
dd346c28-9530-429b-8647-ac7fdafe4092,HLAS Travel Protect360 Superior,single,53.0,,12000.0,20000.0,1200.0,7000.0,,false,,https://app.hlas.com.sg/travel-protect360/quote,,
5ef2894d-0b13-4a05-b8d9-0e85b8a79abb,HLAS Travel Protect360 Enhanced,single,39.5,,7000.0,15000.0,1000.0,5000.0,,false,,https://app.hlas.com.sg/travel-protect360/quote,,
aa25ec25-963c-4a88-8505-18a9e9382b96,Zurich Basic,single,25.3,,2500.0,50000.0,200.0,2000.0,,false,,https://web.edge.zurich.com.sg/travel/quote,,
55f0eed4-287f-460a-904a-8a0ec61005b4,Zurich Prestige,single,42.98,,7500.0,250000.0,800.0,5000.0,,false,,https://web.edge.zurich.com.sg/travel/quote,,
4044cdf3-3dc8-4459-adbe-67dc14b563e1,Zurich Essential,single,32.87,,5000.0,125000.0,400.0,3000.0,,false,,https://web.edge.zurich.com.sg/travel/quote,,
6da52605-d9ae-4fe2-b540-ff885a1a0c2e,Direct Asia Voyager 150,single,21.0,,3000.0,150000.0,1000.0,1000.0,,false,,https://www.directasia.com/,,
5aa5a36a-c532-4ce6-9aee-3e715cbce761,Direct Asia Voyager 500,single,32.55,,15000.0,500000.0,1000.0,5000.0,,false,,https://www.directasia.com/,,
24909683-0ffa-4844-89de-e8157f7a4be0,Direct Asia Voyager 250,single,24.15,,10000.0,250000.0,1000.0,3000.0,,false,,https://www.directasia.com/,,
087b5fa4-961a-4094-9080-cc4a2d16d0d9,Starr TraveLead Comprehensive Bronze,single,53.04,,5000.0,15000.0,400.0,3000.0,true,false,,https://www.starrinsurance.com.sg/,,https://www.starrinsurance.com.sg/static/products/pdf/starr_sg/Product%20Brochure_20191121%20(with%20addon).pdf
4f8345ab-a088-4e0d-8ccd-b66e6e66ab54,Starr TraveLead Comprehensive Silver,single,63.96,,10000.0,20000.0,800.0,5000.0,true,false,,https://www.starrinsurance.com.sg/,,https://www.starrinsurance.com.sg/static/products/pdf/starr_sg/Product%20Brochure_20191121%20(with%20addon).pdf
c97277d0-9d90-4b42-9e16-31f63734aff3,Starr TraveLead Comprehensive Gold,single,82.68,,15000.0,50000.0,1200.0,7500.0,true,false,,https://www.starrinsurance.com.sg/,,https://www.starrinsurance.com.sg/static/products/pdf/starr_sg/Product%20Brochure_20191121%20(with%20addon).pdf
