14fd78cc-3798-484f-957b-a6ddec4390ce,Allianz Travel Insurance Platinum,single,63.00,,10000.00,1000000.00,1000.00,5000.00,,f,,https://buy.allianz-assistance.com.sg/B2C/TRAVEL/SG/step-1?pc=flash50,,
d3842cd5-dbde-45d8-b883-5e5ff03b03df,Allianz Travel Insurance Silver,single,33.00,,5000.00,500000.00,500.00,3000.00,,f,,https://buy.allianz-assistance.com.sg/B2C/TRAVEL/SG/step-1?pc=flash50,,
352ba5a2-8746-41f7-a9fe-0940772cd6ba,FWD First,single,43.70,,15000.00,30000.00,900.00,7500.00,t,f,,https://www.fwd.com.sg/travel-insurance/,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
db775494-9e22-4231-abf3-b9b02cd902c3,FWD Business,single,34.25,,10000.00,15000.00,600.00,5000.00,t,f,,https://www.fwd.com.sg/travel-insurance/,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
80fe3647-dca0-4b55-b342-c1ba7ec10d8d,FWD Premium,single,25.75,,7500.00,6000.00,150.00,3000.00,t,f,,https://www.fwd.com.sg/travel-insurance/quote?hash=1mg5ndndnfb6eq3q8cd59h5o353k4q6b76nmmvjificrdphepgsi,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt83fea08e97aa1cf9/66cfc998ea31e6805ef5520d/FWD-Travel-Policy-wording.pdf
d62dd4eb-d92c-46d2-90d1-b096d4b5462e,Singlife Travel Lite,single,31.00,,5000.00,6000.00,300.00,3000.00,t,f,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
ecfee2c5-c658-4a8c-b603-b98d25480c0b,Singlife Travel Prestige,single,65.79,,20000.00,80000.00,2000.00,8000.00,t,f,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
d4164bbe-cf74-4caa-8d45-e9c0b18ce2c1,Singlife Travel Plus,single,47.08,,15000.00,50000.00,1000.00,5000.00,t,f,,https://quotebuy.singlife.com/qnb/gi/#/travel/get-quote,,https://assets.contentstack.io/v3/assets/blt052434c305171617/blt71332ba984bf8419/663d765c135752397829dde3/Travel_Policy_Document_(For_policies_purchased_on_and_after_10_May_2024).pdf?tblci=GiBrz3nnMHXV5TTfC_xhaCht6aKQ9w0VOrbFeBuMNmyZsCCq31Yozo6--N6zvccz
1d8e1abe-64fa-44dd-8d23-98c98c71457b,Income Travel Insurance Classic,single,34.18,,5000.00,250000.00,1000.00,3000.00,,f,,https://www.income.com.sg/buy/travel-insurance,,
47422f5f-bad0-424f-b1c7-48a8208c2d3c,Income Travel Insurance Preferred,single,54.37,,15000.00,1000000.00,2000.00,8000.00,,f,,https://www.income.com.sg/buy/travel-insurance,,
